,Run,SRA,Model,Assay,LibrarySelection,Class,Part.of.microRNAOme.1,CellType,batch.used.in.the.normalization.approaches,group.used.in.the.normalization.approaches,Total_reads,Total.Filtered.reads,Trimmed.Reads..unique.,All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin.miRNAs.Reads,mature.tRNA.Reads,primary.tRNA.Reads,snoRNA.Reads,rRNA.Reads,Other.ncRNA.reads,mRNA.Reads,Remaining.Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR6372850,SRR6372850,SRP126655,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H9,105.0,7.0,11462446.0,5951106.0,432645.0,3327385.0,3305490.0,776.0,8061.0,222427.0,214890.0,297463.0,840359.0,406685.0,62372.0,571464.0,SRX3467887,PRJNA422248,SRS2755603,SAMN08168959,GEO,DOI: 10.1038/s41598-018-26156-3,29795287
SRR6372851,SRR6372851,SRP126655,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H9,105.0,7.0,8247652.0,6190282.0,494630.0,3556796.0,3539562.0,736.0,13276.0,323728.0,65137.0,455024.0,654928.0,536150.0,86415.0,498828.0,SRX3467888,PRJNA422248,SRS2755608,SAMN08168958,GEO,DOI: 10.1038/s41598-018-26156-3,29795287
SRR7439004,SRR7439004,SRP151370,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell_derived,41.0,7.0,19584041.0,17140181.0,660940.0,12612998.0,12577905.0,768.0,28920.0,804278.0,325150.0,277272.0,1420185.0,271388.0,65731.0,1334259.0,SRX4309732,PRJNA478026,SRS3464514,SAMN09489842,GEO,DOI: 10.1038/s41467-019-10831-8,31350386
SRR7439005,SRR7439005,SRP151370,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell_derived,41.0,7.0,13280832.0,11552978.0,556212.0,7662942.0,7635590.0,697.0,23038.0,519936.0,290962.0,247248.0,1462823.0,233261.0,52727.0,1060041.0,SRX4309733,PRJNA478026,SRS3464515,SAMN09489840,GEO,DOI: 10.1038/s41467-019-10831-8,31350386
SRR7439006,SRR7439006,SRP151370,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell_derived,41.0,7.0,15151349.0,12581247.0,599259.0,8622338.0,8586737.0,751.0,20780.0,568789.0,226838.0,251773.0,1478852.0,216418.0,64523.0,1130936.0,SRX4309734,PRJNA478026,SRS3464516,SAMN09489839,GEO,DOI: 10.1038/s41467-019-10831-8,31350386
SRR7439007,SRR7439007,SRP151370,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell_derived,41.0,7.0,13502725.0,12050125.0,602889.0,8318954.0,8289336.0,753.0,21568.0,566919.0,194323.0,253155.0,1369758.0,221110.0,63240.0,1041098.0,SRX4309735,PRJNA478026,SRS3464519,SAMN09489838,GEO,DOI: 10.1038/s41467-019-10831-8,31350386
SRR9690843,SRR9690843,SRP214747,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Stem,No,Dental_pulp_stem_cell,90.0,18.0,11602602.0,10066982.0,909402.0,6960707.0,6926153.0,647.0,10198.0,802231.0,41486.0,124786.0,378750.0,212509.0,782724.0,753591.0,SRX6450192,PRJNA554528,SRS5103705,SAMN12273066,"STOMATOLOGICAL HOSPITAL, SOUTHERN MEDICAL UNIVERSITY",-,-
DRR041349,DRR041349,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_skin,159.0,24.0,1633439.0,1245118.0,123373.0,233021.0,227315.0,366.0,1276.0,176379.0,2127.0,218433.0,279508.0,93690.0,45097.0,195587.0,DRX036983,PRJDB2675,DRS007931,SAMD00005582,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041351,DRR041351,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_aortic_adventitial,159.0,24.0,1277323.0,1004512.0,90625.0,213343.0,211355.0,353.0,1035.0,18477.0,1252.0,361477.0,187458.0,100530.0,10402.0,110538.0,DRX036985,PRJDB2675,DRS007926,SAMD00005544,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041354,DRR041354,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_aortic_adventitial,159.0,24.0,840833.0,665276.0,65478.0,220800.0,218806.0,336.0,931.0,100661.0,4084.0,70416.0,147694.0,35607.0,9339.0,75744.0,DRX036988,PRJDB2675,DRS007927,SAMD00005828,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041358,DRR041358,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_skin,159.0,24.0,1519086.0,1223574.0,87215.0,657631.0,650394.0,482.0,1481.0,100804.0,4722.0,62958.0,207401.0,49322.0,16716.0,122539.0,DRX036992,PRJDB2675,DRS008146,SAMD00004983,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041367,DRR041367,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_lymph_node,159.0,24.0,1775651.0,1648747.0,73662.0,639749.0,635659.0,459.0,1394.0,57437.0,4638.0,44318.0,749296.0,31383.0,7817.0,112715.0,DRX037001,PRJDB2675,DRS008161,SAMD00004993,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041374,DRR041374,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_breast,159.0,24.0,2673026.0,2356986.0,262991.0,310737.0,308763.0,439.0,894.0,676692.0,45.0,79602.0,629978.0,246411.0,85329.0,327298.0,DRX037008,PRJDB2675,DRS008165,SAMD00005624,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041380,DRR041380,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_gum_fetal,159.0,24.0,1311140.0,981595.0,62365.0,498981.0,495521.0,433.0,1081.0,38602.0,4423.0,24826.0,292921.0,20511.0,6784.0,93466.0,DRX037014,PRJDB2675,DRS008152,SAMD00005461,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041388,DRR041388,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_breast,159.0,24.0,2013266.0,1482592.0,79256.0,651467.0,646980.0,477.0,1897.0,79255.0,6109.0,44082.0,526713.0,39022.0,8875.0,125172.0,DRX037022,PRJDB2675,DRS008164,SAMD00004716,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041395,DRR041395,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_periodontal_fetal,159.0,24.0,1435336.0,1164619.0,68911.0,504728.0,501819.0,425.0,1360.0,40994.0,4839.0,26607.0,427187.0,20584.0,9884.0,128436.0,DRX037029,PRJDB2675,DRS008168,SAMD00005345,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041401,DRR041401,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fibroblast,No,Fibroblast_lung_fetal,159.0,24.0,1710713.0,1423543.0,77372.0,787748.0,782244.0,475.0,1978.0,90220.0,8484.0,44352.0,335497.0,44056.0,8202.0,103006.0,DRX037035,PRJDB2675,DRS008157,SAMD00004854,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR8587087,SRR8587087,SRP186158,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,87.0,20.0,10399044.0,10074969.0,298178.0,8341731.0,8324873.0,812.0,12420.0,336434.0,30788.0,191553.0,435118.0,144494.0,198590.0,383841.0,SRX5387632,PRJNA522973,SRS4376078,SAMN10962190,GEO,DOI: 10.7554/eLife.46007,31478836
SRR8587088,SRR8587088,SRP186158,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,87.0,20.0,12103051.0,11344275.0,533852.0,6927879.0,6910601.0,831.0,19332.0,1231016.0,30581.0,346233.0,1427203.0,361871.0,181321.0,818839.0,SRX5387633,PRJNA522973,SRS4376079,SAMN10962195,GEO,DOI: 10.7554/eLife.46007,31478836
SRR8587089,SRR8587089,SRP186158,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,87.0,20.0,17784249.0,17486029.0,544973.0,14501185.0,14466096.0,914.0,24815.0,706597.0,47289.0,255526.0,684860.0,295534.0,170242.0,799981.0,SRX5387634,PRJNA522973,SRS4376080,SAMN10962194,GEO,DOI: 10.7554/eLife.46007,31478836
SRR5224014,SRR5224014,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,17067362.0,16094043.0,1038526.0,5459959.0,5449521.0,640.0,8264.0,693110.0,92184.0,1277785.0,5272911.0,1047833.0,195299.0,2046698.0,SRX2533195,PRJNA369614,SRS1953867,SAMN06290057,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224019,SRR5224019,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,9773334.0,8461466.0,673120.0,1921510.0,1909738.0,556.0,6680.0,376512.0,91409.0,466588.0,3593861.0,518319.0,95133.0,1391454.0,SRX2533200,PRJNA369614,SRS1953872,SAMN06290059,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224013,SRR5224013,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,17843703.0,16726675.0,1126767.0,4382956.0,4370825.0,681.0,11206.0,741863.0,118806.0,1226317.0,6298255.0,1110867.0,188091.0,2648314.0,SRX2533194,PRJNA369614,SRS1953866,SAMN06290061,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224024,SRR5224024,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,10962401.0,9475880.0,809824.0,2501504.0,2487741.0,570.0,6835.0,498309.0,104998.0,612090.0,3192743.0,613166.0,126471.0,1819764.0,SRX2533205,PRJNA369614,SRS1953877,SAMN06290060,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224023,SRR5224023,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,12164345.0,10364816.0,926134.0,2173669.0,2158216.0,587.0,6971.0,477484.0,108192.0,686054.0,4125828.0,804377.0,130808.0,1851433.0,SRX2533204,PRJNA369614,SRS1953876,SAMN06290054,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR7472387,SRR7472387,SRP152113,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_retinal_microvascular,59.0,20.0,11756753.0,9980500.0,739773.0,5557094.0,5534522.0,703.0,16061.0,821671.0,61097.0,344690.0,1342247.0,292866.0,111882.0,1432892.0,SRX4342028,PRJNA478816,SRS3502618,SAMN09603803,UNIVERSITY OF FREIBURG,-,-
SRR7472390,SRR7472390,SRP152113,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_retinal_microvascular,59.0,20.0,13214462.0,11260117.0,955056.0,4840279.0,4822688.0,691.0,19957.0,985445.0,58984.0,656180.0,1886290.0,401324.0,142638.0,2269020.0,SRX4342025,PRJNA478816,SRS3502618,SAMN09603803,UNIVERSITY OF FREIBURG,-,-
SRR7472391,SRR7472391,SRP152113,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_retinal_microvascular,59.0,20.0,15160664.0,12857832.0,952180.0,6458480.0,6432491.0,715.0,20168.0,1105164.0,74703.0,453731.0,2086970.0,371066.0,163173.0,2124377.0,SRX4342024,PRJNA478816,SRS3502618,SAMN09603803,UNIVERSITY OF FREIBURG,-,-
SRR5224010,SRR5224010,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,13790403.0,13126875.0,921194.0,5970644.0,5959906.0,670.0,6787.0,291805.0,53876.0,1042717.0,3451355.0,916994.0,162317.0,1230380.0,SRX2533191,PRJNA369614,SRS1953863,SAMN06290063,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224011,SRR5224011,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,11726274.0,11206436.0,773961.0,4963648.0,4956112.0,634.0,6134.0,296855.0,27719.0,868985.0,3167174.0,715650.0,113038.0,1047233.0,SRX2533192,PRJNA369614,SRS1953864,SAMN06290064,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224012,SRR5224012,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,15509785.0,14928419.0,1046169.0,6943331.0,6932383.0,680.0,6689.0,709608.0,47026.0,1245061.0,3389817.0,829480.0,181024.0,1576383.0,SRX2533193,PRJNA369614,SRS1953865,SAMN06290062,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224015,SRR5224015,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,31548704.0,29532713.0,1630139.0,5868213.0,5849104.0,741.0,20265.0,1472715.0,165266.0,2979647.0,11513809.0,2706850.0,334690.0,4471258.0,SRX2533196,PRJNA369614,SRS1953868,SAMN06290056,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224016,SRR5224016,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,12214685.0,10502062.0,814884.0,2822235.0,2810309.0,615.0,5895.0,388978.0,72561.0,700981.0,3892193.0,589851.0,133203.0,1896165.0,SRX2533197,PRJNA369614,SRS1953869,SAMN06290053,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224017,SRR5224017,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,10653103.0,9266355.0,758826.0,2040208.0,2027149.0,543.0,3976.0,556502.0,93595.0,482852.0,3865990.0,547464.0,124181.0,1551587.0,SRX2533198,PRJNA369614,SRS1953870,SAMN06290051,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224018,SRR5224018,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,9563712.0,8253753.0,655171.0,2169134.0,2159749.0,551.0,4562.0,252927.0,54029.0,636540.0,2948694.0,750680.0,84712.0,1352475.0,SRX2533199,PRJNA369614,SRS1953871,SAMN06290052,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224020,SRR5224020,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,12188635.0,10601652.0,792195.0,3025435.0,3012407.0,596.0,6271.0,456683.0,77812.0,575438.0,4137184.0,500163.0,144928.0,1677738.0,SRX2533201,PRJNA369614,SRS1953873,SAMN06290065,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224021,SRR5224021,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,12597317.0,10867582.0,799952.0,2197792.0,2182818.0,552.0,7493.0,494612.0,104128.0,715626.0,4604151.0,835828.0,116493.0,1791459.0,SRX2533202,PRJNA369614,SRS1953874,SAMN06290058,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR5224022,SRR5224022,SRP098733,NextSeq 500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,123.0,20.0,28891769.0,26950076.0,1615605.0,5744748.0,5724016.0,701.0,21403.0,1225767.0,189304.0,2641744.0,9861157.0,2531538.0,323350.0,4411065.0,SRX2533203,PRJNA369614,SRS1953875,SAMN06290055,GEO,DOI: 10.1038/s41598-017-11487-4,28887500
SRR7472388,SRR7472388,SRP152113,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_retinal_microvascular,59.0,20.0,12685600.0,10780183.0,918436.0,4890138.0,4869316.0,701.0,17893.0,1026341.0,60627.0,450601.0,1820068.0,360150.0,175849.0,1978516.0,SRX4342027,PRJNA478816,SRS3502618,SAMN09603803,UNIVERSITY OF FREIBURG,-,-
SRR7472389,SRR7472389,SRP152113,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_retinal_microvascular,59.0,20.0,15427912.0,13095430.0,1500636.0,5474124.0,5454673.0,678.0,20284.0,867484.0,81475.0,698083.0,2279698.0,501918.0,181838.0,2990526.0,SRX4342026,PRJNA478816,SRS3502618,SAMN09603803,UNIVERSITY OF FREIBURG,-,-
ERR792998,ERR792998,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,28245417.0,27858515.0,1120031.0,732914.0,729860.0,408.0,3355.0,1197736.0,740.0,282406.0,21747705.0,2318435.0,140729.0,1434495.0,ERX837664,PRJEB8905,ERS686974,SAMEA3310608,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793001,ERR793001,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,22521390.0,22052727.0,927138.0,3617671.0,3607455.0,534.0,6153.0,2075002.0,39503.0,234285.0,8897259.0,2724411.0,138298.0,4320145.0,ERX837654,PRJEB8905,ERS686964,SAMEA3310598,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793018,ERR793018,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,20188533.0,19980784.0,550476.0,13843295.0,13838192.0,736.0,28440.0,670130.0,141865.0,899782.0,2347802.0,744867.0,173648.0,1130955.0,ERX837655,PRJEB8905,ERS686965,SAMEA3310599,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793022,ERR793022,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,17462771.0,17280897.0,287740.0,11324866.0,11180164.0,540.0,4125.0,478841.0,63112.0,492522.0,2574971.0,1441126.0,68600.0,832734.0,ERX837657,PRJEB8905,ERS686967,SAMEA3310601,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793021,ERR793021,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,14551612.0,14365940.0,317988.0,7591398.0,7585281.0,568.0,3523.0,542850.0,51867.0,385817.0,3289589.0,1576005.0,58604.0,866287.0,ERX837652,PRJEB8905,ERS686962,SAMEA3310596,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR792999,ERR792999,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,13076786.0,12833484.0,447087.0,1003116.0,999737.0,419.0,2589.0,1223654.0,4354.0,136485.0,7255156.0,2227304.0,118210.0,862616.0,ERX837656,PRJEB8905,ERS686966,SAMEA3310600,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793006,ERR793006,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,12941061.0,12680658.0,400572.0,794513.0,790129.0,375.0,1876.0,760269.0,6582.0,154652.0,9217746.0,972462.0,212979.0,559579.0,ERX837669,PRJEB8905,ERS686979,SAMEA3310613,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793023,ERR793023,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,13433486.0,13228945.0,323280.0,6272412.0,6248930.0,534.0,3465.0,605792.0,26275.0,315596.0,3475259.0,1498600.0,79138.0,952408.0,ERX837649,PRJEB8905,ERS686959,SAMEA3310593,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793019,ERR793019,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,12156518.0,12064351.0,401231.0,5626549.0,5622736.0,577.0,9301.0,1948268.0,52909.0,427935.0,1379684.0,1174786.0,85803.0,1359116.0,ERX837642,PRJEB8905,ERS686952,SAMEA3310586,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
ERR793014,ERR793014,ERP009948,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Mesenchymal_stem_cell,147.0,7.0,13443222.0,13369839.0,328914.0,9918188.0,9914109.0,761.0,23332.0,646961.0,114108.0,518494.0,869062.0,523557.0,80215.0,675922.0,ERX837662,PRJEB8905,ERS686972,SAMEA3310606,HiSeq 2500,DOI: 10.22203/ecm.v031a10,26853623
SRR4027468,SRR4027468,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_umbilical_cord_blood,157.0,7.0,5144117.0,4683925.0,442230.0,917653.0,914463.0,625.0,15122.0,503820.0,5663.0,126228.0,2033166.0,367330.0,46489.0,668454.0,SRX2019402,PRJNA338817,SRS1615019,SAMN05559401,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027469,SRR4027469,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_umbilical_cord_blood,157.0,7.0,2291183.0,2007827.0,233901.0,591098.0,585645.0,648.0,13453.0,128618.0,6866.0,80167.0,699729.0,115164.0,25864.0,346868.0,SRX2019403,PRJNA338817,SRS1615020,SAMN05559402,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027470,SRR4027470,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_umbilical_cord_blood,157.0,7.0,3261188.0,3096860.0,322603.0,1891605.0,1888749.0,751.0,4743.0,275016.0,8217.0,87995.0,272187.0,156357.0,23361.0,377379.0,SRX2019404,PRJNA338817,SRS1615021,SAMN05559403,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR5239182,SRR5239182,SRP099086,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell,54.0,7.0,13925522.0,12169504.0,466302.0,860301.0,828563.0,555.0,71270.0,957271.0,3319.0,919042.0,7387922.0,439950.0,153122.0,1377307.0,SRX2546076,PRJNA371846,SRS1964935,SAMN06313002,GEO,DOI: 10.1016/j.stemcr.2017.04.016,28494942
SRR5239185,SRR5239185,SRP099086,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell,54.0,7.0,13052509.0,8675033.0,371567.0,329689.0,299906.0,447.0,22612.0,557164.0,1425.0,166244.0,6307913.0,167819.0,114191.0,1007976.0,SRX2546079,PRJNA371846,SRS1964938,SAMN06313017,GEO,DOI: 10.1016/j.stemcr.2017.04.016,28494942
SRR5239186,SRR5239186,SRP099086,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H9,54.0,7.0,13644533.0,11944697.0,448208.0,941350.0,913154.0,591.0,70189.0,776445.0,2924.0,714282.0,7591247.0,371082.0,253951.0,1223227.0,SRX2546080,PRJNA371846,SRS1964939,SAMN06313016,GEO,DOI: 10.1016/j.stemcr.2017.04.016,28494942
SRR5239187,SRR5239187,SRP099086,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H9,54.0,7.0,10896596.0,10024865.0,695944.0,546132.0,532036.0,523.0,25103.0,628524.0,4395.0,1859466.0,4823946.0,607134.0,277862.0,1252303.0,SRX2546081,PRJNA371846,SRS1964940,SAMN06313015,GEO,DOI: 10.1016/j.stemcr.2017.04.016,28494942
SRR5239188,SRR5239188,SRP099086,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H9,54.0,7.0,14979873.0,14103915.0,743416.0,776863.0,765136.0,568.0,38964.0,1060558.0,5912.0,1709045.0,8039464.0,641493.0,333721.0,1497895.0,SRX2546082,PRJNA371846,SRS1964941,SAMN06313012,GEO,DOI: 10.1016/j.stemcr.2017.04.016,28494942
ERR1517157,ERR1517157,ERP016351,Illumina HiSeq 2500,miRNA-Seq,RANDOM,Fibroblast,No,Mesenchymal_stromal_cell,2.0,7.0,4626965.0,4194605.0,2568363.0,1069543.0,1011734.0,413.0,547.0,129478.0,724.0,7018.0,49321.0,30782.0,23630.0,2883562.0,ERX1588177,PRJEB14691,ERS1234146,SAMEA4063036,Gabriel Dorado,DOI: 10.1002/jcp.25472,27349923
ERR1517159,ERR1517159,ERP016351,Illumina HiSeq 2500,miRNA-Seq,RANDOM,Fibroblast,No,Mesenchymal_stromal_cell,2.0,7.0,4799063.0,4363672.0,1928830.0,1752873.0,1654376.0,449.0,904.0,140596.0,1913.0,11478.0,90399.0,34296.0,17455.0,2313758.0,ERX1588179,PRJEB14691,ERS1234148,SAMEA4063038,Gabriel Dorado,DOI: 10.1002/jcp.25472,27349923
DRR041498,DRR041498,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Stem,No,Mesenchymal_stem_cell_derived_umbilical_cord,159.0,7.0,1950129.0,1663149.0,86447.0,978610.0,976798.0,459.0,919.0,139551.0,8509.0,56978.0,315594.0,51137.0,11150.0,100701.0,DRX037132,PRJDB2675,DRS008258,SAMD00004807,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041526,DRR041526,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Stem,No,Mesenchymal_stem_cell_derived_bone_marrow,159.0,7.0,1820636.0,1558937.0,98895.0,445801.0,442484.0,462.0,1969.0,84844.0,7727.0,51770.0,718452.0,54637.0,12349.0,181388.0,DRX037160,PRJDB2675,DRS008245,SAMD00005083,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041545,DRR041545,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Stem,No,Mesenchymal_stem_cell_derived_umbilical_cord,159.0,7.0,1687035.0,1566747.0,79040.0,317648.0,314855.0,441.0,1132.0,384162.0,4277.0,30316.0,659924.0,32562.0,8539.0,128187.0,DRX037179,PRJDB2675,DRS008251,SAMD00005444,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041552,DRR041552,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Stem,No,Mesenchymal_stem_cell_derived_adipose_tissue,159.0,7.0,334026.0,250619.0,33070.0,62065.0,61326.0,249.0,323.0,31556.0,1119.0,6180.0,109154.0,11491.0,3363.0,25368.0,DRX037186,PRJDB2675,DRS008252,SAMD00004820,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041573,DRR041573,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Stem,No,Mesenchymal_stem_cell_derived_liver,159.0,7.0,679384.0,545956.0,61877.0,197863.0,196839.0,359.0,409.0,59778.0,2841.0,25570.0,172292.0,23905.0,8707.0,54591.0,DRX037207,PRJDB2675,DRS008253,SAMD00005427,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
